pais,ventas,lat,lon
ALBANIA,2500,41.3333333,19.8166667
ALGERIA,178200,28.0000272,2.9999825
ANGOLA,24000,-11.8775768,17.5691241
ARGENTINA,432696,-34.9964963,-64.9672817
ARMENIA,5200,40,45
AUSTRALIA,531596,-24.7761086,134.755
AUSTRIA,303318,47.59397,14.12456
AZERBAIDJAN,23300,40.3936294,47.7872508
BAHAMAS,1600,24.7736546,-78.0000547
BAHRAIN,49600,26.0280409,50.55316821
BANGLADESH,29300,24,90
BELARUS,22300,53.4250605,27.6971358
BELGIUM,482939,50.6402809,4.6667145
BELIZE,200,16.8259793,-88.7600927
BOLIVIA,18500,-17.0568696,-64.9912286
BOSNIA,8900,44.3053476,17.5961467
BOTSWANA,26500,-23.1681782,24.5928742
BRAZIL,2504161,-10.3333333,-53.2
BRUNEI,18100,4.4137155,114.5653908
BULGARIA,20359,46.7889169,23.6184909
BURKINA,700,12.0753083,-1.6880314
BURUNDI,200,-3.426449,29.9324519
CAMBODGE,2400,12.5433216,104.8144914
CAMEROON,2300,4.6125522,13.1535811
CANADA,755500,61.0666922,-107.991707
CHILE,256160,-31.7613365,-71.3187697
CHINA,19700569,35,105
COLOMBIA,265100,4.099917,-72.9088133
CONGO,1500,-2.9814344,23.8222636
COSTA RICA,35200,9.5364569,-84.17566257
CROATIA,33997,45.3658443,15.6575209
CUBA,4000,23.0131338,-80.8328748
CYPRUS,7794,34.9174159,32.88990265
CZECH REPUBLIC,192314,49.7439047,15.3381061
DENMARK,189051,55.670249,10.3333283
DOMINICAN REPUBLIC,17400,19.0974031,-70.3028026
ECUADOR,78495,-1.3397668,-79.3666965
EGYPT,273500,27,30
EL SALVADOR,5000,13.8000382,-88.9140683
ESTONIA,20861,58.7523778,25.3319078
FINLAND,106236,63.2467777,25.9209164
FRANCE,1795885,46.603354,1.8883335
GABON,2900,-0.8999695,11.6899699
GEORGIA,4300,42,43.5
GERMANY,3036773,51,9
GHANA,6900,8.0300284,-1.0800271
GREECE,71218,39,22
GUADELOUPE,12599,16.2528827,-61.5686855
GUATEMALA,17300,15.5855545,-90.345759
GUYANA,4248,4.8417097,-58.6416891
HONDURAS,1300,15.2572432,-86.0755145
HONG-KONG,48500,22.350627,114.1849161
HUNGARY,67476,47,20
ICELAND,9536,64.9841821,-18.1059013
INDIA,2570531,22.3511148,78.6677428
INDONESIA,879461,-2.4833826,117.8902853
IRAK,61000,1.7635148,32.4304243
IRAN,1106700,2.9368696,115.4443356
IRELAND,96344,52.865196,-7.9794599
ISRAEL,228000,31.5,34.75
ITALY,1360293,42.6384261,12.674297
IVORY COAST,4300,7.9897371,-5.5679458
JAMAICA,2300,18.1850507,-77.3947693
JAPAN,4699590,36.5748441,139.2394179
JORDAN,15700,32.3635964,35.561242
KAZAKSTAN,151424,48.1012954,66.7780818
KENYA,3000,1.4419683,38.4313975
KIRGHIZISTAN,4000,41.5089324,74.724091
KUWAIT,126300,29.3796532,47.9734174
LAOS,9800,40.499847,37.670719
LATVIA,12452,56.8406494,24.7537645
LEBANON,38300,33.8333,35.8333
LIBERIA,200,5.7499721,-9.3658524
LIBYA,30000,26.8234472,18.1236723
LITHUANIA,14503,55.3500003,23.7499997
LUXEMBOURG,49793,49.6112768,6.129799
MACEDONIA,2700,41.8333,22
MADAGASCAR,1600,-18.9249604,46.4416422
MALAWI,1100,-13.2687204,33.9301963
MALAYSIA,588341,4.5693754,102.2656823
MALTA,6451,35.8885993,14.4476911
MARTINIQUE,11325,14.6113732,-60.9620777
MAURITIUS,8600,-20.2759451,57.5703566
MEXICO,745250,19.4326296,-99.1331785
MOLDAVIA,5600,47.2879608,28.5670941
MONGOLIA,1100,46,105
MOROCCO,109649,28.3347722,-10.37133791
MYANMAR,1000,22.0452303,96.4514694
NEPAL,5300,31.2496266,73.6632218
NETHERLANDS,387835,52.2434979,5.6343227
NEW CALEDONIA,5343,-20.63784275,161.2117626
NEW ZEALAND,84007,-41.5000831,172.8344077
NICARAGUA,5200,12.6090157,-85.2936911
NIGERIA,42000,9.6000359,7.9999721
NORWAY,144202,64.5731537,11.52803644
OMAN,138600,42.2679001,26.9246399
PAKISTAN,123950,30.3308401,71.247499
PALESTINE,21100,32,35.25
PANAMA,43000,8.559559,-81.1308434
PARAGUAY,21500,-23.3165935,-58.1693445
PERU,138226,-6.8699697,-75.0458515
PHILIPPINES,108327,12.7503486,122.7312101
POLAND,327709,52.215933,19.134422
PORTUGAL,142826,39.6621648,-8.1353519
PUERTO RICO,58500,18.2247706,-66.4858295
QATAR,71500,39.1074426,47.5061085
REUNION,20605,-21.1309332,55.5265771
ROMANIA,70172,45.9852129,24.6859225
RUSSIA,2286877,60,100
SAUDI ARABIA,632700,25.6242618,42.3528328
SENEGAL,4500,14.4750607,-14.4529612
SERBIA,23900,44.02432285,21.07657433
SINGAPORE,28932,1.357107,103.8194992
SLOVAKIA,72249,48.7411522,19.4528646
SLOVENIA,53296,46.1199444,14.8153333
SOUTH AFRICA,439264,-28.8166236,24.991639
SOUTH KOREA,1359834,36.638392,127.6961188
SPAIN,855308,39.3260685,-4.8379791
SRI LANKA,13800,7.5554942,80.7137847
SUDAN,1800,10.9,6.5
SWEDEN,303948,62,15
SWITZERLAND,301942,47,8
SYRIA,33400,35.8323648,38.5414697
TADJIKISTAN,6100,38.6281733,70.8156541
TAHITI,2500,-17.68734395,-149.4451681
TAIWAN,235480,23.5983227,120.8353769
TANZANIA,1000,-6.5247123,35.7878438
THAILAND,411402,13.03876215,101.7001761
TRINIDAD,6300,10.4430243,-61.26130539
TUNISIA,37100,36.8002068,10.1857757
TURKEY,587331,38.9597594,34.9249653
UGANDA,3000,1.5333554,32.2166578
UKRAINE,97020,49.4871968,31.2718321
UNITED ARAB EMIRATES,206700,24.0002488,53.9994829
UNITED KINGDOM,2476435,54.7023545,-3.2765753
UNITED STATES OF AMERICA,7687619,39.7837304,-100.445882
URUGUAY,40171,-32.8755548,-56.0201525
UZBEKISTAN,46000,41.32373,63.9528098
VENEZUELA,10430,8.0018709,-66.1109318
VIETNAM,79806,15.9266657,107.9650855
YEMEN,2100,16.3471243,47.8915271
ZAMBIA,2000,-14.5189121,27.5589884
ZIMBABWE,4056,-18.4554963,29.7468414
